"cuenta";"descripcion";"cuentaesp"
"6650";"Intereses por descuento de efectos en entidades de crédito del grupo";""
"6651";"Intereses por descuento de efectos en entidades de crédito asociadas";""
"6652";"Intereses por descuento de efectos en otras entidades de crédito vinculadas";""
"6653";"Intereses por descuento de efectos en otras entidades de crédito";""
"6654";"Intereses por operaciones de factoring con entidades de crédito del grupo";""
"6655";"Intereses por operaciones de factoring con entidades de crédito asociadas";""
"6656";"Intereses por operaciones de factoring con otras entidades de crédito vinculadas";""
"6657";"Intereses por operaciones de factoring con otras entidades de crédito";""
"6660";"Pérdidas en valores representativos de deuda a largo plazo, empresas del grupo";""
"6661";"Pérdidas en valores representativos de deuda a largo plazo, empresas asociadas";""
"6662";"Pérdidas en valores representativos de deuda a largo plazo, otras partes vinculadas";""
"6663";"Pérdidas en participaciones y valores representativos de deuda a largo plazo, otras empresas";""
"6665";"Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas del grupo";""
"6666";"Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas asociadas";""
"6667";"Pérdidas en valores representativos de deuda a corto plazo, otras partes vinculadas";""
"6668";"Pérdidas en valores representativos de deuda a corto plazo, otras empresas";""
"6670";"Pérdidas de créditos a largo plazo, empresas del grupo";""
"6671";"Pérdidas de créditos a largo plazo, empresas asociadas";""
"6672";"Pérdidas de créditos a largo plazo, otras partes vinculadas";""
"6673";"Pérdidas de créditos a largo plazo, otras empresas";""
"6675";"Pérdidas de créditos a corto plazo, empresas del grupo";""
"6676";"Pérdidas de créditos a corto plazo, empresas asociadas";""
"6677";"Pérdidas de créditos a corto plazo, otras partes vinculadas";""
"6678";"Pérdidas de créditos a corto plazo, otras empresas";""
"668";"Diferencias negativas de cambio";"EURNEG"
"669";"Otros gastos financieros";""
"67";"Pérdidas procedentes de activos no corrientes y gastos excepcionales";""
"670";"Pérdidas procedentes del inmovilizado intangible";""
"671";"Pérdidas procedentes del inmovilizado material";""
"672";"Pérdidas procedentes de las inversiones inmobiliarias";""
"6733";"Pérdidas procedentes de participaciones a largo plazo, empresas del grupo";""
"6734";"Pérdidas procedentes de participaciones a largo plazo, empresas asociadas";""
"6735";"Pérdidas procedentes de participaciones a largo plazo, otras partes vinculadas";""
"675";"Pérdidas por operaciones con obligaciones propias";""
"678";"Gastos excepcionales";""
"68";"Dotaciones para amortizaciones";""
"680";"Amortización del inmovilizado intangible";""
"681";"Amortización del inmovilizado material";""
"682";"Amortización de las inversiones inmobiliarias";""
"69";"Pérdidas por deterioro y otras dotaciones";""
"690";"Pérdidas por deterioro del inmovilizado intangible";""
"691";"Pérdidas por deterioro del inmovilizado material";""
"692";"Pérdidas por deterioro de las inversiones inmobiliarias";""
"6930";"Pérdidas por deterioro de productos terminados y en curso de fabricación";""
"6931";"Pérdidas por deterioro de mercaderías";""
"6932";"Pérdidas por deterioro de materias primas";""
"6933";"Pérdidas por deterioro de otros aprovisionamientos";""
"694";"Pérdidas por deterioro de créditos por operaciones comerciales";""
"6954";"Dotación a la provisión por contratos onerosos";""
"6959";"Dotación a la provisión para otras operaciones comerciales";""
"6960";"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo";""
"6961";"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas";""
"6962";"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas";""
"6963";"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas";""
"6965";"Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas del grupo";""
"6966";"Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas asociadas";""
"6967";"Pérdidas por deterioro en valores representativos de deuda a largo plazo, otras partes vinculadas";""
"6968";"Pérdidas por deterioro en valores representativos de deuda a largo plazo, de otras empresas";""
"6970";"Pérdidas por deterioro de créditos a largo plazo, empresas del grupo";""
"6971";"Pérdidas por deterioro de créditos a largo plazo, empresas asociadas";""
"6972";"Pérdidas por deterioro de créditos a largo plazo, otras partes vinculadas";""
"6973";"Pérdidas por deterioro de créditos a largo plazo, otras empresas";""
"6980";"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo";""
"6981";"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas";""
"6985";"Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas del grupo";""
"6986";"Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas asociadas";""
"6987";"Pérdidas por deterioro en valores representativos de deuda a corto plazo, otras partes vinculadas";""
"6988";"Pérdidas por deterioro en valores representativos de deuda a corto plazo, de otras empresas";""
"6990";"Pérdidas por deterioro de créditos a corto plazo, empresas del grupo";""
"6991";"Pérdidas por deterioro de créditos a corto plazo, empresas asociadas";""
"6992";"Pérdidas por deterioro de créditos a corto plazo, otras partes vinculadas";""
"6993";"Pérdidas por deterioro de créditos a corto plazo, otras empresas";""
"7";"Ventas e ingresos";""
"70";"Ventas de mercaderías, de producción propia, de servicios, etc";""
"700";"Ventas de mercaderías";"VENTAS"
"701";"Ventas de productos terminados";"VENTAS"
"702";"Ventas de productos semiterminados";"VENTAS"
"703";"Ventas de subproductos y residuos";"VENTAS"
"704";"Ventas de envases y embalajes";"VENTAS"
"705";"Prestaciones de servicios";"VENTAS"
"7060";"Descuentos sobre ventas por pronto pago de mercaderías";""
"7061";"Descuentos sobre ventas por pronto pago de productos terminados";""
"7062";"Descuentos sobre ventas por pronto pago de productos semiterminados";""
"7063";"Descuentos sobre ventas por pronto pago de subproductos y residuos";""
"7080";"Devoluciones de ventas de mercaderías";"DEVVEN"
"7081";"Devoluciones de ventas de productos terminados";""
"7082";"Devoluciones de ventas de productos semiterminados";""
"7083";"Devoluciones de ventas de subproductos y residuos";""
"7084";"Devoluciones de ventas de envases y embalajes";""
"7090";"Rappels sobre ventas de mercaderías";""
"7091";"Rappels sobre ventas de productos terminados";""
"7092";"Rappels sobre ventas de productos semiterminados";""
"7093";"Rappels sobre ventas de subproductos y residuos";""
"7094";"Rappels sobre ventas de envases y embalajes";""
"71";"Variación de existencias";""
"710";"Variación de existencias de productos en curso";""
"711";"Variación de existencias de productos semiterminados";""
"712";"Variación de existencias de productos terminados";""
"713";"Variación de existencias de subproductos,residuos y materiales recuperados";""
"73";"Trabajos realizados para la empresa";""
"730";"Trabajos realizados para el inmovilizado intangible";""
"731";"Trabajos realizados para el inmovilizado material";""
"732";"Trabajos realizados en inversiones inmobiliarias";""
"733";"Trabajos realizados para el inmovilizado material en curso";""
"74";"Subvenciones, donaciones y legados";""
"740";"Subvenciones, donaciones y legados a la explotación";""
"746";"Subvenciones, donaciones y legados de capital transferidos al resultado del ejercicio";""
"747";"Otras subvenciones, donaciones y legados transferidos al resultado del ejercicio";""
"75";"Otros ingresos de gestión";""
"7510";"Pérdida transferida (gestor)";""
"7511";"Beneficio atribuido (partícipe o asociado no gestor)";""
"752";"Ingresos por arrendamientos";""
"753";"Ingresos de propiedad industrial cedida en explotación";""
"754";"Ingresos por comisiones";""
"755";"Ingresos por servicios al personal";""
"759";"Ingresos por servicios diversos";""
"76";"Ingresos financieros";""
"7600";"Ingresos de participaciones en instrumentos de patrimonio, empresas del grupo";""
"7601";"Ingresos de participaciones en instrumentos de patrimonio, empresas asociadas";""
"7602";"Ingresos de participaciones en instrumentos de patrimonio, otras partes vinculadas";""
"7603";"Ingresos de participaciones en instrumentos de patrimonio, otras empresas";""
"7610";"Ingresos de valores representativos de deuda, empresas del grupo";""
"7611";"Ingresos de valores representativos de deuda, empresas asociadas";""
"7612";"Ingresos de valores representativos de deuda, otras partes vinculadas";""
"7613";"Ingresos de valores representativos de deuda, otras empresas";""
"76200";"Ingresos de créditos a largo plazo, empresas del grupo";""
"76201";"Ingresos de créditos a largo plazo, empresas asociadas";""
"76202";"Ingresos de créditos a largo plazo, otras partes vinculadas";""
"76203";"Ingresos de créditos a largo plazo, otras empresas";""
"76210";"Ingresos de créditos a corto plazo, empresas del grupo";""
"76211";"Ingresos de créditos a corto plazo, empresas asociadas";""
"76212";"Ingresos de créditos a corto plazo, otras partes vinculadas";""
"76213";"Ingresos de créditos a corto plazo, otras empresas";""
"7630";"Beneficios de cartera de negociación";""
"7631";"Beneficios de designados por la empresa";""
"7632";"Beneficios de disponibles para la venta";""
"7633";"Beneficios de instrumentos de cobertura";""
"7660";"Beneficios en valores representativos de deuda a largo plazo, empresas del grupo";""
"7661";"Beneficios en valores representativos de deuda a largo plazo, empresas asociadas";""
"7662";"Beneficios en valores representativos de deuda a largo plazo, otras partes vinculadas";""
"7663";"Beneficios en participaciones y valores representativos de deuda a largo plazo, otras empresas";""
"7665";"Beneficios en participaciones y valores representativos de deuda a corto plazo, empresas del grupo";""
"7666";"Beneficios en participaciones y valores representativos de deuda a corto plazo, empresas asociadas";""
"7667";"Beneficios en valores representativos de deuda a corto plazo, otras partes vinculadas";""
"7668";"Beneficios en valores representativos de deuda a corto plazo, otras empresas";""
"767";"Ingresos de activos afectos y de derechos de reembolso relativos a retribuciones a largo plazo";""
"768";"Diferencias positivas de cambio";"EURPOS"
"769";"Otros ingresos financieros";""
"77";"Beneficios procedentes de activos no corrientes e ingresos excepcionales";""
"770";"Beneficios procedentes del inmovilizado intangible";""
"771";"Beneficios procedentes del inmovilizado material";""
"772";"Beneficios procedentes de las inversiones inmobiliarias";""
"7733";"Beneficios procedentes de participaciones a largo plazo, empresas del grupo";""
"7734";"Beneficios procedentes de participaciones a largo plazo, empresas asociadas";""
"7735";"Beneficios procedentes de participaciones a largo plazo, otras partes vinculadas";""
"774";"Diferencia negativa en combinaciones de negocios";""
"775";"Beneficios por operaciones con obligaciones propias";""
"778";"Ingresos excepcionales";""
"79";"Excesos y aplicaciones de provisiones y de pérdidas por deterioro";""
"790";"Reversión del deterioro del inmovilizado intangible";""
"791";"Reversión del deterioro del inmovilizado material";""
"792";"Reversión del deterioro de las inversiones inmobiliarias";""
"7930";"Reversión del deterioro de productos terminados y en curso de fabricación";""
"7931";"Reversión del deterioro de mercaderías";""
"7932";"Reversión del deterioro de materias primas";""
"7933";"Reversión del deterioro de otros aprovisionamientos";""
"794";"Reversión del deterioro de créditos por operaciones comerciales";""
"7950";"Exceso de provisión por retribuciones al personal";""
"7951";"Exceso de provisión para impuestos";""
"7952";"Exceso de provisión para otras responsabilidades";""
"79544";"Exceso de provisión por contratos onerosos";""
"79549";"Exceso de provisión para otras operaciones comerciales";""
"7955";"Exceso de provisión para actuaciones medioambientales";""
"7956";"Exceso de provisión para reestructuraciones";""
"7957";"Exceso de provisión por transacciones con pagos basados en instrumentos de patrimonio";""
"7960";"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo";""
"7961";"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas";""
"7965";"Reversión del deterioro de valores representativos de deuda a largo plazo, empresas del grupo";""
"7966";"Reversión del deterioro de valores representativos de deuda a largo plazo, empresas asociadas";""
"7967";"Reversión del deterioro de valores representativos de deuda a largo plazo, otras partes vinculadas";""
"7968";"Reversión del deterioro de valores representativos de deuda a largo plazo, otras empresas";""
"7970";"Reversión del deterioro de créditos a largo plazo, empresas del grupo";""
"7971";"Reversión del deterioro de créditos a largo plazo, empresas asociadas";""
"7972";"Reversión del deterioro de créditos a largo plazo, otras partes vinculadas";""
"7973";"Reversión del deterioro de créditos a largo plazo, otras empresas";""
"7980";"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo";""
"7981";"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas";""
"7985";"Reversión del deterioro en valores representativos de deuda a corto plazo, empresas del grupo";""
"7986";"Reversión del deterioro en valores representativos de deuda a corto plazo, empresas asociadas";""
"7987";"Reversión del deterioro en valores representativos de deuda a corto plazo, otras partes vinculadas";""
"7988";"Reversión del deterioro en valores representativos de deuda a corto plazo, otras empresas";""
"7990";"Reversión del deterioro de créditos a corto plazo, empresas del grupo";""
"7991";"Reversión del deterioro de créditos a corto plazo, empresas asociadas";""
"7992";"Reversión del deterioro de créditos a corto plazo, otras partes vinculadas";""
"7993";"Reversión del deterioro de créditos a corto plazo, otras empresas";""
"8";"Gastos imputados al patrimonio neto";""
"80";"Gastos financieros por valoración de activos y pasivos";""
"800";"Pérdidas en activos financieros disponibles para la venta";""
"802";"Transferencia de beneficios en activos financieros disponibles para la venta";""
"81";"Gastos en operaciones de cobertura";""
"810";"Pérdidas por coberturas de flujos de efectivo";""
"811";"Pérdidas por coberturas de inversiones netas en un negocio en el extranjero";""
"812";"Transferencia de beneficios por coberturas de flujos de efectivo";""
"813";"Transferencia de beneficios por coberturas de inversiones netas en un negocio en el extranjero";""
"82";"Gastos por diferencias de conversión";""
"820";"Diferencias de conversión negativas";""
"821";"Transferencia de diferencias de conversión positivas";""
"83";"Impuesto sobre beneficios";""
"8300";"Impuesto corriente";""
"8301";"Impuesto diferido";""
"833";"Ajustes negativos en la imposición sobre beneficios";""
"834";"Ingresos fiscales por diferencias permanentes";""
"835";"Ingresos fiscales por deducciones y bonificaciones";""
"836";"Transferencia de diferencias permanentes";""
"837";"Transferencia de deducciones y bonificaciones";""
"838";"Ajustes positivos en la imposición sobre beneficios";""
"84";"Transferencias de subvenciones, donaciones y legados";""
"840";"Transferencia de subvenciones oficiales de capital";""
"841";"Transferencia de donaciones y legados de capital";""
"842";"Transferencia de otras subvenciones, donaciones y legados";""
"85";"Gastos por pérdidas actuariales y ajustes en los activos por retribuciones a largo plazo de prestación definida";""
"850";"Pérdidas actuariales";""
"851";"Ajustes negativos en activos por retribuciones a largo plazo de prestación definida";""
"86";"Gastos por activos no corrientes en venta";""
"860";"Pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";""
"862";"Transferencia de beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";""
"89";"Gastos de participaciones en empresas del grupo o asociadas con ajustes valorativos positivos previos";""
"891";"Deterioro de participaciones en el patrimonio, empresas del grupo";""
"892";"Deterioro de participaciones en el patrimonio, empresas asociadas";""
"9";"Ingresos imputados al patrimonio neto";""
"90";"Ingresos financieros por valoración de activos y pasivos";""
"900";"Beneficios en activos financieros disponibles para la venta";""
"902";"Transferencia de pérdidas de activos financieros disponibles para la venta";""
"91";"Ingresos en operaciones de cobertura";""
"910";"Beneficios por coberturas de flujos de efectivo";""
"911";"Beneficios por coberturas de una inversión neta en un negocio en el extranjero";""
"912";"Transferencia de pérdidas por coberturas de flujos de efectivo";""
"913";"Transferencia de pérdidas por coberturas de una inversión neta en un negocio en el extranjero";""
"92";"Ingresos por diferencias de conversion";""
"920";"Diferencias de conversión positivas";""
"921";"Transferencia de diferencias de conversión negativas";""
"94";"Ingresos por subvenciones, donaciones y legados";""
"940";"Ingresos de subvenciones oficiales de capital";""
"941";"Ingresos de donaciones y legados de capital";""
"942";"Ingresos de otras subvenciones, donaciones y legados";""
"95";"Ingresos por ganancias actuariales y ajustes en los activos por retribuciones a largo plazo de prestacion definida";""
"950";"Ganancias actuariales";""
"951";"Ajustes positivos en activos por retribuciones a largo plazo de prestación definida";""
"96";"Ingresos por activos no corrientes en venta";""
"960";"Beneficios en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";""
"962";"Transferencia de pérdidas en activos no corrientes y grupos enajenables de elementos mantenidos para la venta";""
"99";"Ingresos de participaciones en empresas del grupo o asociadas con ajustes valorativos negativos previos";""
"991";"Recuperación de ajustes valorativos negativos previos, empresas del grupo";""
"992";"Recuperación de ajustes valorativos negativos previos, empresas asociadas";""
"993";"Transferencia por deterioro de ajustes valorativos negativos previos, empresas del grupo";""
"994";"Transferencia por deterioro de ajustes valorativos negativos previos, empresas asociadas";""
